"Team","Division","PTS","AST","REB","FG%","3P%","FT%","WIN","GP"
"ATL","Southeast","23.2","6.7","4.5","47.8","35.6","92.2","70.6","17"
"BKN","Atlantic","25.3","5.5","4.3","47.9","40","88.1","73.7","19"
"BOS","Atlantic","23.8","5.5","4.5","46.6","43.4","91.6","50","20"
"CHA","Southeast","27.3","6.8","3.8","51.2","49.1","90.6","70.6","17"
"CHI","Central","22.4","6","4.8","46.2","36","95.5","66.7","21"
"CLE","Central","25.2","6.7","4.7","50.7","48.4","90.5","72.2","18"
"DAL","Southwest","23.7","6.4","4","47.7","45.7","92.8","69.7","33"
"DEN","Northwest","23.4","6.1","4.5","49.7","46.3","89.7","52.9","34"
"DET","Central","23.5","6.6","4.5","49","47.1","92.9","73.7","19"
"HOU","Southwest","23.6","6.7","4.6","46.9","39.9","85.5","54.5","33"
"IND","Central","20.3","7.3","4.5","46.7","40.9","87.5","66.7","18"
"LAC","Pacific","24.4","6","4.7","49.6","46.1","90","70.7","41"
"LAL","Pacific","20.7","7.3","4.9","42.5","35.2","93.6","55.9","34"
"MEM","Southwest","24.9","6.5","4.9","47.9","44.9","93.9","53.1","32"
"MIA","Southeast","25.7","6.2","5","46.4","44.8","87.8","61.1","18"
"MIL","Central","21.1","6.2","3.9","45.1","38.3","91.9","55.6","18"
"MIN","Northwest","25.6","7.6","5","47.9","42.7","91.3","81.8","33"
"NOP","Southwest","26.2","7.1","4.3","49","46.2","93.8","81.2","32"
"NYK","Atlantic","25.2","6","5.5","46.1","48.2","88.5","80","20"
"OKC","Northwest","26.2","6.6","4.9","49.3","44.5","89.7","54.1","37"
"ORL","Southeast","25.6","6.9","5.3","48.8","45.5","94.7","61.1","18"
"PHI","Atlantic","23.6","6.5","4.5","45.1","38.1","90.7","70","20"
"PHX","Pacific","22.1","6.5","4.3","46.9","42.6","88","64.1","39"
"POR","Northwest","28","6.5","4.5","48.2","45.5","89.2","66.7","33"
"SAC","Pacific","23","7.5","5.1","46.5","43","88.2","74.3","35"
"SAS","Southwest","21.4","6","4.4","47.1","41.4","92.8","43.3","30"
"TOR","Atlantic","27.4","7.6","4.6","49.6","41.8","90.8","84.2","19"
"UTA","Northwest","23.7","6.7","4.2","46.8","43","90","68.8","32"
"WSH","Southeast","27.8","5.2","4.4","49.6","46.4","92.2","71.4","21"
"GSW","Pacific","24.2","6.5","4.6","47.7","43.3","90.7","65.6","0"
